,nom_entreprise,adresse,latitude,longitude,activite_principale
2742,FVMG,24 AVENUE DE L'ILE BRUNE 38120 SAINT-EGREVE,45.229573,5.670354,47.11B
2743,FVMG,ROUTE DE SAINT-QUENTIN 38210 TULLINS,45.296315,5.502539,47.11B
2744,SOC FRANCAISE TRANSPORTS GONDRAND FRERES (SFTGF),65 RUE DU PONT NOIR 38120 SAINT-EGREVE,45.226057,5.678822,63.4A
2745,SOC FRANCAISE TRANSPORTS GONDRAND FRERES (SFTGF),47 RUE DU PONT NOIR 38120 SAINT-EGREVE,45.226057,5.678822,63.4A
2746,SOC FRANCAISE TRANSPORTS GONDRAND FRERES (SFTGF),18 AVENUE DE L'ILE BRUNE 38120 SAINT-EGREVE,45.229573,5.670354,52.29B
2747,OPERATEUR DE COMPETENCES INTERINDUSTRIEL (OPCO 2I),19 RUE DES BERGES 38000 GRENOBLE,45.204794,5.703851,94.99Z
2748,SEMACO (COREP),2 RUE DU TOUR DE L’EAU 38400 SAINT-MARTIN-D'HERES,45.18597,5.771074,82.19Z
2749,SEMACO (COREP),441 AVENUE DE LA BIBLIOTHEQUE 38400 SAINT-MARTIN-D'HERES,45.192371,5.770503,82.19Z
2750,SEMACO (COREP),1022 AVENUE CENTRALE 38400 SAINT-MARTIN-D'HERES,45.191778,5.767253,82.19Z
2751,AGPM-GESTION,4 PLACE BIR HAKEIM 38000 GRENOBLE,45.189245,5.736697,82.11Z
2752,SAPIAN,ET 60 AV CHAMP ROMANS CHAMP ROMAN 38400 SAINT-MARTIN-D'HERES,45.18415,5.774587,74.7Z
2753,SAPIAN,RUE DU MOIROND 38420 DOMENE,45.199399,5.823841,74.7Z
2754,SAPIAN,6 RUE DES ESSARTS 38610 GIERES,45.187852,5.776623,81.29A
2755,SAPIAN,PORTE B 6 RUE DES ESSARTS 38610 GIERES,45.187852,5.776623,81.21Z
2756,TENFIRST,LD LES GUILLOTS 32240 MONLEZUN D'ARMAGNAC,45.3386772,5.9030216,35.11Z
2757,SOBECA,FURES 8 RUE DU 8 MAI 1945 38210 TULLINS,45.302591,5.489908,45.2E
2758,SOBECA,PARC ACTIVITES DU PEURAS 74 TOLIGNAT 38210 TULLINS,45.297133,5.509048,42.22Z
2759,LEGALLAIS (LEGALLAIS),4 RUE DES MONTAGNES DE LANS 38130 ECHIROLLES,45.153294,5.697223,47.52A
2760,LEGALLAIS (LEGALLAIS),75 RUE GENERAL MANGIN 38100 GRENOBLE,45.163944,5.71548,46.90Z
2761,LE COMPTOIR IRLANDAIS,1 RUE JEAN FRANCOIS HACHE 38000 GRENOBLE,45.191667,5.731262,46.49Z
2762,PHILDAR,CENTRE COMMERCIAL GRAND PLACE BOUTIQUE 55 GRAND PLACE 38100 GRENOBLE,45.158412,5.730834,47.51Z
