,nom,adresse,siren
989,RESTALLIANCE,15 RUE EUGENE CHARBONNIER 38600 FONTAINE,391125796
990,MICROBABY,37 QUAI CLAUDE BERNARD 38000 GRENOBLE,800895088
991,MICROBABY,10 CHEMIN DES PRELES 38240 MEYLAN,800895088
992,MICROBABY,10 CHEMIN DES PRELES 38240 MEYLAN,800895088
993,HAVAS VOYAGES,3 RUE DOCTEUR BALLY 38000 GRENOBLE,377533294
994,HAVAS VOYAGES,LES LECHERES 2 BOULEVARD DES ALPES 38240 MEYLAN,377533294
995,HAVAS VOYAGES,28 BOULEVARD EDOUARD REY 38000 GRENOBLE,377533294
996,HAVAS VOYAGES,10 RUE DES TERREAUX 38500 VOIRON,377533294
997,HAVAS VOYAGES,3 RUE DOCTEUR BALLY 38000 GRENOBLE,377533294
998,HAVAS VOYAGES,2 PLACE DE LA BASCULE 38500 VOIRON,377533294
999,DEVRED,1 RUE LAFAYETTE 38000 GRENOBLE,342948965
1000,DEVRED,4 AVENUE ALSACE LORRAINE 38000 GRENOBLE,342948965
1001,DEVRED,CENTRE CIAL GRAND PLACE LOCAL N 7 55 GRAND PLACE 38100 GRENOBLE,342948965
1002,H&M HENNES & MAURITZ,CENTRE COMMERCIAL CASERNE DE BONNE BOULEVARD GAMBETTA 38000 GRENOBLE,398979310
1003,CARREFOUR HYPERMARCHES,VOIE N  24 VILLENEUVE RUE DE NORMANDIE 38130 ECHIROLLES,451321335
1004,CARREFOUR HYPERMARCHES,AVENUE DE VERDUN 1 BOULEVARD DES ALPES 38240 MEYLAN,451321335
1005,CARREFOUR HYPERMARCHES,1 RUE DES ABATTOIRS 38120 SAINT-EGREVE,451321335
1006,HAPPY CURL (LA BOUTIQUE DU COIFFEUR),CENTRE COMMERCIAL CARREFOUR 1 RUE DES ABATTOIRS 38120 SAINT-EGREVE,343738266
1007,LES HALLES BLACHERE BERNARD (PROVENC'HALLES),ROUTE NATIONALE 75 QUARTIER GRAND PLAN MENU 38500 COUBLEVIE,340292549
1008,LES HALLES BLACHERE BERNARD (PROVENC'HALLES),ROUTE DE SAINT-QUENTIN 38210 TULLINS,340292549
1009,LES HALLES BLACHERE BERNARD (PROVENC'HALLES),24 AVENUE DE L'ILE BRUNE 38120 SAINT-EGREVE,340292549
1010,FONDATION APPRENTIS D'AUTEUIL (APPRENTIS D'AUTEUIL),8 RUE EMILE GUEYMARD 38000 GRENOBLE,775688799
1011,FONDATION APPRENTIS D'AUTEUIL (APPRENTIS D'AUTEUIL),14 RUE DES ARTS ET METIERS 38000 GRENOBLE,775688799
