,Code NAF,Intitule NAF
596,8220Z,Activités de centres d'appels
597,2446,Élaboration et transformation de matières nucléaires
598,7711,Location et location-bail de voitures et de véhicules automobiles légers
599,2891Z,Fabrication de machines pour la métallurgie
600,4730Z,Commerce de détail de carburants en magasin spécialisé
601,2611Z,Fabrication de composants électroniques
602,7112,Activités d'ingénierie
603,801,Activités de sécurité privée
604,261,Fabrication de composants et cartes électroniques
605,13,Reproduction de plantes
606,1042,Fabrication de margarine et graisses comestibles similaires
607,274,Fabrication d'appareils d'éclairage électrique
608,4799B,"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a."
609,4120,Construction de bâtiments résidentiels et non résidentiels
610,20,Industrie chimique
611,4724Z,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
612,2572,Fabrication de serrures et de ferrures
613,4762,Commerce de détail de journaux et papeterie en magasin spécialisé
614,4779,Commerce de détail de biens d'occasion en magasin
615,2211,Fabrication et rechapage de pneumatiques
616,1032,Préparation de jus de fruits et légumes
617,4711A,Commerce de détail de produits surgelés
618,7712,Location et location-bail de camions
619,2680Z,Fabrication de supports magnétiques et optiques
620,241,Sidérurgie
621,283,Fabrication de machines agricoles et forestières
622,1310Z,Préparation de fibres textiles et filature
623,5913A,Distribution de films cinématographiques
624,7820Z,Activités des agences de travail temporaire
625,97,Activités des ménages en tant qu'employeurs de personnel domestique
626,8122,Autres activités de nettoyage des bâtiments et nettoyage industriel
627,1721,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton
628,2012,Fabrication de colorants et de pigments
629,5911C,Production de films pour le cinéma
630,8810,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées
631,8510,Enseignement pré-primaire
632,4771,Commerce de détail d'habillement en magasin spécialisé
633,15,Industrie du cuir et de la chaussure
634,476,Commerce de détail de biens culturels et de loisirs en magasin spécialisé
635,492,Transports ferroviaires de fret
636,109,Fabrication d'aliments pour animaux
637,143,Fabrication d'articles à mailles
638,643,Fonds de placement et entités financières similaires
639,4618Z,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
640,47,"Commerce de détail, à l’exception des automobiles et des motocycles"
641,8623Z,Pratique dentaire
642,4764,Commerce de détail d'articles de sport en magasin spécialisé
643,981,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
644,102,"Transformation et conservation de poisson, de crustacés et de mollusques"
645,2899B,Fabrication d'autres machines spécialisées
646,8030Z,Activités d'enquête
647,811,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
648,1330,Ennoblissement textile
649,6312,Portails Internet
650,5520Z,Hébergement touristique et autre hébergement de courte durée
651,1081Z,Fabrication de sucre
652,6530Z,Caisses de retraite
653,464,Commerce de gros de biens domestiques
654,495,Transports par conduites
655,8430,Sécurité sociale obligatoire
656,1089Z,Fabrication d'autres produits alimentaires n.c.a.
657,862,Activité des médecins et des dentistes
658,439,Autres travaux de construction spécialisés
659,639,Autres services d'information
660,9313,Activités des centres de culture physique
661,2920Z,Fabrication de carrosseries et remorques
662,53,Activités de poste et de courrier
663,9521Z,Réparation de produits électroniques grand public
664,5121,Transports aériens de fret
665,2910Z,Construction de véhicules automobiles
666,7830Z,Autre mise à disposition de ressources humaines
667,9004,Gestion de salles de spectacles
668,2042Z,Fabrication de parfums et de produits pour la toilette
669,4665,Commerce de gros de mobilier de bureau
670,473,Commerce de détail de carburants en magasin spécialisé
671,4939,Autres transports terrestres de voyageurs n.c.a.
672,8621,Activité des médecins généralistes
673,7311Z,Activités des agences de publicité
674,5121Z,Transports aériens de fret
675,42,Génie civil
676,2017,Fabrication de caoutchouc synthétique
677,4743Z,Commerce de détail de matériels audio et vidéo en magasin spécialisé
678,4619B,Autres intermédiaires du commerce en produits divers
679,2013,Fabrication d'autres produits chimiques inorganiques de base
680,1820Z,Reproduction d'enregistrements
681,4729Z,Autres commerces de détail alimentaires en magasin spécialisé
682,4910,Transport ferroviaire interurbain de voyageurs
683,2053,Fabrication d'huiles essentielles
684,642,Activités des sociétés holding
685,8553,Enseignement de la conduite
686,4789,Autres commerces de détail sur éventaires et marchés
687,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles
688,7120A,Contrôle technique automobile
689,2016,Fabrication de matières plastiques de base
690,1101Z,Production de boissons alcooliques distillées
691,4730,Commerce de détail de carburants en magasin spécialisé
692,2612Z,Fabrication de cartes électroniques assemblées
693,243,Fabrication d'autres produits de première transformation de l'acier
694,5914Z,Projection de films cinématographiques
695,6511Z,Assurance vie
696,332,Installation de machines et d'équipements industriels
697,422,Construction de réseaux et de lignes
698,4754Z,Commerce de détail d'appareils électroménagers en magasin spécialisé
699,2620Z,Fabrication d'ordinateurs et d'équipements périphériques
700,8423,Justice
701,5229B,Affrètement et organisation des transports
702,4313,Forages et sondages
703,4663,"Commerce de gros de machines pour l'extraction, la construction et le génie civil"
704,28,Fabrication de machines et équipements n.c.a.
705,2446Z,Élaboration et transformation de matières nucléaires
706,104,Fabrication d’huiles et graisses végétales et animales
707,108,Fabrication d'autres produits alimentaires
708,2894,Fabrication de machines pour les industries textiles
709,7990,Autres services de réservation et activités connexes
710,16,Activités de soutien à l'agriculture et traitement primaire des récoltes
711,3212,Fabrication d’articles de joaillerie et bijouterie
712,772,Location et location-bail de biens personnels et domestiques
713,9104,Gestion des jardins botaniques et zoologiques et des réserves naturelles
714,8710A,Hébergement médicalisé pour personnes âgées
715,4666Z,Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau
716,4322,Travaux de plomberie et installation de chauffage et de conditionnement d'air
717,811,Activités combinées de soutien lié aux bâtiments
718,2434,Tréfilage à froid
719,5224A,Manutention portuaire
720,9319Z,Autres activités liées au sport
721,1105Z,Fabrication de bière
722,96,Autres services personnels
723,5912Z,"Post-production de films cinématographiques, de vidéo et de programmes de télévision"
724,5310Z,Activités de poste dans le cadre d'une obligation de service universel
725,910,"Bibliothèques, archives, musées et autres activités culturelles"
726,2823Z,Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
727,4782,"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
728,1729,Fabrication d'autres articles en papier ou en carton
729,3522,Distribution de combustibles gazeux par conduites
730,5221,Services auxiliaires des transports terrestres
731,1623,Fabrication de charpentes et d'autres menuiseries
732,2362,Fabrication d'éléments en plâtre pour la construction
733,9900,Activités des organisations et organismes extraterritoriaux
734,411,Promotion immobilière
735,2571Z,Fabrication de coutellerie
736,5630,Débits de boissons
737,65,Assurance
738,4641Z,Commerce de gros (commerce interentreprises) de textiles
739,9609,Autres services personnels n.c.a.
740,106,Travail des grains ; fabrication de produits amylacés
741,64,"Activités des services financiers, hors assurance et caisses de retraite"
742,5621Z,Services des traiteurs
743,3831Z,Démantèlement d'épaves
744,4110,Promotion immobilière
745,1084Z,Fabrication de condiments et assaisonnements
746,6020,Programmation de télévision et télédiffusion
747,4765,Commerce de détail de jeux et jouets en magasin spécialisé
748,8542Z,Enseignement supérieur
749,472,Commerce de détail alimentaire en magasin spécialisé
750,949,Activités des autres organisations associatives
751,4213A,Construction d'ouvrages d'art
752,5530Z,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
753,2813,Fabrication d'autres pompes et compresseurs
754,6311Z,"Traitement de données, hébergement et activités connexes"
755,19,Cokéfaction et raffinage
756,2434Z,Tréfilage à froid
757,3320,Installation de machines et d'équipements industriels
758,9601,Blanchisserie-teinturerie
759,5590,Autres hébergements
760,1414Z,Fabrication de vêtements de dessous
761,162,"Fabrication d'articles en bois, liège, vannerie et sparterie"
762,0893Z,Production de sel
763,893,Production de sel
764,2313,Fabrication de verre creux
765,4673B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration
766,1011,Transformation et conservation de la viande de boucherie
767,2016Z,Fabrication de matières plastiques de base
768,6110,Télécommunications filaires
769,4711,Commerce de détail en magasin non spécialisé à prédominance alimentaire
770,114,Culture de la canne à sucre
771,127,Culture de plantes à boissons
772,4621,"Commerce de gros de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
773,2594,Fabrication de vis et de boulons
774,592,Enregistrement sonore et édition musicale
775,55,Hébergement
776,1061B,Autres activités du travail des grains
777,8219,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau"
778,321,Aquaculture en mer
779,211,Fabrication de produits pharmaceutiques de base
780,1320Z,Tissage
781,2014Z,Fabrication d'autres produits chimiques organiques de base
782,38,"Collecte, traitement et élimination des déchets ; récupération"
783,4632,Commerce de gros de viandes et de produits à base de viande
784,144,Élevage de chameaux et d'autres camélidés
785,149,Élevage d'autres animaux
786,2562B,Mécanique industrielle
787,821,Activités administratives
788,17,Industrie du papier et du carton
789,222,Fabrication  de produits en plastique
790,4615Z,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
791,612,Télécommunications sans fil
792,4765Z,Commerce de détail de jeux et jouets en magasin spécialisé
793,931,Activités liées au sport
794,4721Z,Commerce de détail de fruits et légumes en magasin spécialisé
795,2320,Fabrication de produits réfractaires
796,5510,Hôtels et hébergement similaire
797,504,Transports fluviaux de fret
798,1105,Fabrication de bière
799,2431,Étirage à froid de barres
800,4638,"Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques"
801,5629,Autres services de restauration
802,5030Z,Transports fluviaux de passagers
803,131,Préparation de fibres textiles et filature
804,121,Culture de la vigne
805,9511,Réparation d'ordinateurs et d'équipements périphériques
806,2110Z,Fabrication de produits pharmaceutiques de base
807,8121Z,Nettoyage courant des bâtiments
808,4617,"Intermédiaires du commerce en denrées, boissons et tabac"
809,4664Z,Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement
810,6202A,Conseil en systèmes et logiciels informatiques
811,381,Collecte des déchets
812,9523,Réparation de chaussures et d'articles en cuir
813,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
814,2445Z,Métallurgie des autres métaux non ferreux
815,478,Commerce de détail sur éventaires et marchés
816,0142Z,Élevage d'autres bovins et de buffles
817,293,Fabrication d'équipements automobiles
818,3600,"Captage, traitement et distribution d'eau"
819,6203,Gestion d'installations informatiques
820,4645,Commerce de gros de parfumerie et de produits de beauté
821,1511Z,Apprêt et tannage des cuirs ; préparation et teinture des fourrures
822,2444,Métallurgie du cuivre
823,2562A,Décolletage
824,3832Z,Récupération de déchets triés
825,4942,Services de déménagement
826,99,Activités de soutien aux autres industries extractives
827,5222,Services auxiliaires des transports par eau
828,2361,Fabrication d'éléments en béton pour la construction
829,2751,Fabrication d'appareils électroménagers
830,3240Z,Fabrication de jeux et jouets
831,8291,Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle
832,162,Activités de soutien à la production animale
833,2732Z,Fabrication d'autres fils et câbles électroniques ou électriques
834,1610,Sciage et rabotage du bois
835,8690E,"Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues"
836,960,Autres services personnels
837,91,Activités de soutien à l'extraction d'hydrocarbures
838,2120,Fabrication de préparations pharmaceutiques
839,681,Activités des marchands de biens immobiliers
840,203,"Fabrication de peintures, vernis, encres et mastics"
841,4213B,Construction et entretien de tunnels
842,4639,"Commerce de gros non spécialisé de denrées, boissons et tabac"
843,4632B,Commerce de gros (commerce interentreprises) de produits à base de viande
844,1013A,Préparation industrielle de produits à base de viande
845,4664,Commerce de gros de machines pour l'industrie textile et l'habillement
846,9002Z,Activités de soutien au spectacle vivant
847,6430,Fonds de placement et entités financières similaires
848,2431Z,Étirage à froid de barres
849,4399A,Travaux d'étanchéification
850,6621Z,Évaluation des risques et dommages
851,1729Z,Fabrication d'autres articles en papier ou en carton
852,1086Z,Fabrication d'aliments homogénéisés et diététiques
853,4939C,Téléphériques et remontées mécaniques
854,7420,Activités photographiques
855,9609Z,Autres services personnels n.c.a.
856,9311,Gestion d'installations sportives
857,729,Extraction d'autres minerais de métaux non ferreux
858,8891,Action sociale sans hébergement pour jeunes enfants
859,6312Z,Portails Internet
860,8810C,Aide par le travail
861,3109,Fabrication d'autres meubles
862,4623,Commerce de gros d'animaux vivants
863,8622B,Activités chirurgicales
864,111,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
865,5610,Restaurants et services de restauration mobile
866,2041,"Fabrication de savons, détergents et produits d'entretien"
867,9002,Activités de soutien au spectacle vivant
868,4672Z,Commerce de gros (commerce interentreprises) de minerais et métaux
869,4321,Installation électrique
870,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé
871,152,Fabrication de chaussures
872,4677,Commerce de gros de déchets et débris
873,5819Z,Autres activités d'édition
874,651,Assurance
875,4110D,Supports juridiques de programmes
876,1102A,Fabrication de vins effervescents
877,6120,Télécommunications sans fil
878,7120,Activités de contrôle et analyses techniques
879,0113Z,"Culture de légumes, de melons, de racines et de tubercules"
880,2015Z,Fabrication de produits azotés et d'engrais
881,4332,Travaux de menuiserie
882,6499,"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a."
883,2573,Fabrication d'outillage
884,742,Activités photographiques
885,142,Élevage d'autres bovins et de buffles
886,125,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
887,4752B,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)"
888,510,Extraction de houille
889,2313Z,Fabrication de verre creux
890,2732,Fabrication d'autres fils et câbles électroniques ou électriques
891,3102Z,Fabrication de meubles de cuisine
892,952,Réparation de biens personnels et domestiques
893,10,Industries alimentaires
894,4719,Autre commerce de détail en magasin non spécialisé
895,3011Z,Construction de navires et de structures flottantes
896,501,Transports maritimes et côtiers de passagers
897,2017Z,Fabrication de caoutchouc synthétique
898,3212Z,Fabrication d’articles de joaillerie et bijouterie
899,0130Z,Reproduction de plantes
900,2932,Fabrication d'autres équipements automobiles
901,9003A,Création artistique relevant des arts plastiques
902,1092Z,Fabrication d'aliments pour animaux de compagnie
903,0210Z,Sylviculture et autres activités forestières
904,8299Z,Autres activités de soutien aux entreprises n.c.a.
905,2932Z,Fabrication d'autres équipements automobiles
906,37,Collecte et traitement des eaux usées
907,4791,Vente à distance
908,4333Z,Travaux de revêtement des sols et des murs
909,2433,Profilage à froid par formage ou pliage
910,619,Autres activités de télécommunication
911,86,Activités pour la santé humaine
912,3040,Construction de véhicules militaires de combat
913,432,"Travaux d'installation électrique, plomberie et autres travaux d'installation"
914,4212Z,Construction de voies ferrées de surface et souterraines
915,4313Z,Forages et sondages
916,4778C,Autres commerces de détail spécialisés divers
917,4643,Commerce de gros d'appareils électroménagers
918,82,Activités administratives et autres activités de soutien aux entreprises
919,3700Z,Collecte et traitement des eaux usées
920,8422,Défense
921,1051A,Fabrication de lait liquide et de produits frais
922,4322A,Travaux d'installation d'eau et de gaz en tous locaux
923,4772B,Commerce de détail de maroquinerie et d'articles de voyage
924,2920,Fabrication de carrosseries et remorques
925,3220,Fabrication d'instruments de musique
926,4791B,Vente à distance sur catalogue spécialisé
927,841,"Administration générale, économique et sociale"
928,8010Z,Activités de sécurité privée
929,4711F,Hypermarchés
930,6130Z,Télécommunications par satellite
931,142,Fabrication d'articles en fourrure
932,9700Z,Activités des ménages en tant qu'employeurs de personnel domestique
933,9524,Réparation de meubles et d'équipements du foyer
934,262,Fabrication d'ordinateurs et d'équipements périphériques
935,4791A,Vente à distance sur catalogue général
936,1102,Production de vin (de raisin)
937,2895Z,Fabrication de machines pour les industries du papier et du carton
938,4531,Commerce de gros d'équipements automobiles
939,6611,Administration de marchés financiers
940,610,Extraction de pétrole brut
941,7732Z,Location et location-bail de machines et équipements pour la construction
942,9602,Coiffure et soins de beauté
943,1622Z,Fabrication de parquets assemblés
944,0721Z,Extraction de minerais d'uranium et de thorium
945,6612Z,Courtage de valeurs mobilières et de marchandises
946,4619,Intermédiaires du commerce en produits divers
947,4639A,Commerce de gros (commerce interentreprises) de produits surgelés
948,4635,Commerce de gros de produits à base de tabac
949,5814Z,Édition de revues et périodiques
950,8710C,Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé
951,8510Z,Enseignement pré-primaire
952,2110,Fabrication de produits pharmaceutiques de base
953,4776,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé"
954,2893,Fabrication de machines pour l'industrie agro-alimentaire
955,2445,Métallurgie des autres métaux non ferreux
956,553,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
957,7022Z,Conseil pour les affaires et autres conseils de gestion
958,161,Activités de soutien aux cultures
959,812,Activités de nettoyage
960,4773Z,Commerce de détail de produits pharmaceutiques en magasin spécialisé
961,2823,Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
962,2815Z,Fabrication d'engrenages et d'organes mécaniques de transmission
963,284,Fabrication de machines de formage des métaux et de machines-outils
964,3211Z,Frappe de monnaie
965,2331Z,Fabrication de carreaux en céramique
966,170,"Chasse, piégeage et services annexes"
967,265,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie"
968,32,Autres industries manufacturières
969,6311,"Traitement de données, hébergement et activités connexes"
970,1081,Fabrication de sucre
971,251,Fabrication d'éléments en métal pour la construction
972,3091,Fabrication de motocycles
973,1085Z,Fabrication de plats préparés
974,2592Z,Fabrication d'emballages métalliques légers
975,4662Z,Commerce de gros (commerce interentreprises) de machines-outils
976,4741,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
977,51,Transports aériens
978,4615,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
979,5920,Enregistrement sonore et édition musicale
980,5819,Autres activités d'édition
981,2344,Fabrication d'autres produits céramiques à usage technique
982,4619A,Centrales d'achat non alimentaires
983,2572Z,Fabrication de serrures et de ferrures
984,2815,Fabrication d'engrenages et d'organes mécaniques de transmission
985,6491Z,Crédit-bail
986,71,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques
987,7830,Autre mise à disposition de ressources humaines
988,230,Récolte de produits forestiers non ligneux poussant à l'état sauvage
989,3320D,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels"
990,5320Z,Autres activités de poste et de courrier
991,5621,Services des traiteurs
992,8425Z,Services du feu et de secours
993,150,Culture et élevage associés
994,2319,"Fabrication et façonnage d'autres articles en verre, y compris verre technique"
995,4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes
996,4677Z,Commerce de gros (commerce interentreprises) de déchets et débris
997,942,Activités des syndicats de salariés
998,8891A,Accueil de jeunes enfants
999,201,"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique"
1000,08,Autres industries extractives
1001,16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
1002,2420,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
1003,2731,Fabrication de câbles de fibres optiques
1004,4622,Commerce de gros de fleurs et plantes
1005,139,Fabrication d'autres textiles
1006,1107A,Industrie des eaux de table
1007,3320C,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels
1008,2712,Fabrication de matériel de distribution et de commande électrique
1009,5122Z,Transports spatiaux
1010,602,Programmation de télévision et télédiffusion
1011,4742,Commerce de détail de matériels de télécommunication en magasin spécialisé
1012,1623Z,Fabrication de charpentes et d'autres menuiseries
1013,9900Z,Activités des organisations et organismes extraterritoriaux
1014,2591,Fabrication de fûts et emballages métalliques similaires
1015,4633,"Commerce de gros de produits laitiers, œufs, huiles et matières grasses comestibles"
1016,8720A,Hébergement social pour handicapés mentaux et malades mentaux
1017,7410,Activités spécialisées de design
1018,84,Administration publique et défense ; sécurité sociale obligatoire
1019,101,Transformation et conservation de la viande et préparation de produits à base de viande
1020,0119Z,Autres cultures non permanentes
1021,130,Reproduction de plantes
1022,4332A,Travaux de menuiserie bois et PVC
1023,1721C,Fabrication d'emballages en papier
1024,66,Activités auxiliaires de services financiers et d'assurance
1025,6910Z,Activités juridiques
1026,2120Z,Fabrication de préparations pharmaceutiques
1027,1013B,Charcuterie
1028,782,Activités des agences de travail temporaire
1029,60,Programmation et diffusion
1030,9001Z,Arts du spectacle vivant
1031,1711,Fabrication de pâte à papier
1032,1106Z,Fabrication de malt
1033,3831,Démantèlement d'épaves
1034,92,Organisation de jeux de hasard et d'argent
1035,8720B,Hébergement social pour toxicomanes
1036,462,Commerce de gros de produits agricoles bruts et d'animaux vivants
1037,803,Activités d'enquête
1038,1723,Fabrication d'articles de papeterie
1039,9525Z,Réparation d'articles d'horlogerie et de bijouterie
1040,8730B,Hébergement social pour handicapés  physiques
1041,5229A,"Messagerie, fret express"
1042,2042,Fabrication de parfums et de produits pour la toilette
1043,329,Activités manufacturières n.c.a.
1044,3299,Autres activités manufacturières n.c.a.
1045,2849,Fabrication d'autres machines-outils
1046,532,Autres activités de poste et de courrier
1047,7010,Activités des sièges sociaux
1048,1399Z,Fabrication d'autres textiles n.c.a.
1049,2895,Fabrication de machines pour les industries du papier et du carton
1050,2813Z,Fabrication d'autres pompes et compresseurs
1051,323,Fabrication d'articles de sport
1052,5629A,Restauration collective sous contrat
1053,9491,Activités des organisations religieuses
1054,322,Aquaculture en eau douce
1055,31,Fabrication de meubles
1056,1106,Fabrication de malt
1057,7733,Location et location-bail de machines de bureau et de matériel informatique
1058,7810Z,Activités des agences de placement de main-d'œuvre
1059,8532,Enseignement secondaire technique ou professionnel
1060,4676,Commerce de gros d'autres produits intermédiaires
1061,4634,Commerce de gros de boissons
1062,3092,Fabrication de bicyclettes et de véhicules pour invalides
1063,4641,Commerce de gros de textiles
1064,0311Z,Pêche en mer
1065,4674B,Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage
1066,4920,Transports ferroviaires de fret
1067,9200,Organisation de jeux de hasard et d'argent
1068,2229B,Fabrication de produits de consommation courante en matières plastiques
1069,1089,Fabrication d'autres produits alimentaires n.c.a.
1070,221,Fabrication de produits en caoutchouc
1071,6492,Autre distribution de crédit
1072,112,Culture du riz
1073,103,Transformation et conservation de fruits et légumes
1074,1414,Fabrication de vêtements de dessous
1075,2344Z,Fabrication d'autres produits céramiques à usage technique
1076,5813,Édition de journaux
1077,8520,Enseignement primaire
1078,8623,Pratique dentaire
1079,2599A,Fabrication d'articles métalliques ménagers
1080,9511Z,Réparation d'ordinateurs et d'équipements périphériques
1081,1200Z,Fabrication de produits à base de tabac
1082,0145Z,Élevage d'ovins et de caprins
1083,5911B,Production de films institutionnels et publicitaires
1084,2222,Fabrication d'emballages en matières plastiques
1085,2410,Sidérurgie
1086,5122,Transports spatiaux
1087,0891Z,Extraction des minéraux chimiques et d'engrais minéraux
1088,6621,Évaluation des risques et dommages
1089,0121Z,Culture de la vigne
1090,26,"Fabrication de produits informatiques, électroniques et optiques"
1091,7912,Activités des voyagistes
1092,321,"Fabrication d’articles de joaillerie, bijouterie et articles similaires"
1093,6499Z,"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a."
1094,9101,Gestion des bibliothèques et des archives
1095,8292Z,Activités de conditionnement
1096,1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques"
1097,812,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin"
1098,1610B,Imprégnation du bois
1099,0910Z,Activités de soutien à l'extraction d'hydrocarbures
1100,7420Z,Activités photographiques
1101,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé"
1102,4742Z,Commerce de détail de matériels de télécommunication en magasin spécialisé
1103,2363,Fabrication de béton prêt à l'emploi
1104,2652,Horlogerie
1105,8122Z,Autres activités de nettoyage des bâtiments et nettoyage industriel
1106,94,Activités des organisations associatives
1107,8622A,Activités de radiodiagnostic et de radiothérapie
1108,5010,Transports maritimes et côtiers de passagers
1109,561,Restaurants et services de restauration mobile
1110,0114Z,Culture de la canne à sucre
1111,1411Z,Fabrication de vêtements en cuir
1112,267,Fabrication de matériels optique et photographique
1113,2640,Fabrication de produits électroniques grand public
1114,1051B,Fabrication de beurre
1115,0162Z,Activités de soutien à la production animale
1116,4666,Commerce de gros d'autres machines et équipements de bureau
1117,309,Fabrication de matériels de transport n.c.a.
1118,475,Commerce de détail d'autres équipements du foyer en magasin spécialisé
1119,01,"Culture et production animale, chasse et services annexes"
1120,0123Z,Culture d'agrumes
1121,4520B,Entretien et réparation d'autres véhicules automobiles
1122,4789Z,Autres commerces de détail sur éventaires et marchés
1123,2013B,Fabrication d'autres produits chimiques inorganiques de base n.c.a.
1124,89,Activités extractives n.c.a.
1125,4675,Commerce de gros de produits chimiques
1126,8219Z,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau"
1127,4644Z,"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien"
1128,4624,Commerce de gros de cuirs et peaux
1129,7740Z,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
1130,0161Z,Activités de soutien aux cultures
1131,4669C,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services
1132,4612A,Centrales d'achat de carburant
1133,32,Aquaculture
1134,2453,Fonderie de métaux légers
1135,2670Z,Fabrication de matériels optique et photographique
1136,36,"Captage, traitement et distribution d'eau"
1137,6491,Crédit-bail
1138,8211Z,Services administratifs combinés de bureau
1139,6832B,Supports juridiques de gestion de patrimoine immobilier
1140,663,Gestion de fonds
1141,1511,Apprêt et tannage des cuirs ; préparation et teinture des fourrures
1142,192,Raffinage du pétrole
1143,2443Z,"Métallurgie du plomb, du zinc ou de l'étain"
1144,2670,Fabrication de matériels optique et photographique
1145,712,Activités de contrôle et analyses techniques
1146,8230,Organisation de salons professionnels et congrès
1147,5629B,Autres services de restauration n.c.a.
1148,4932,Transports de voyageurs par taxis
1149,289,Fabrication d'autres machines d'usage spécifique
1150,9412Z,Activités des organisations professionnelles
1151,9492Z,Activités des organisations politiques
1152,23,Fabrication d'autres produits minéraux non métalliques
1153,3316,Réparation et maintenance d'aéronefs et d'engins spatiaux
1154,58,Édition
1155,8622,Activité des médecins spécialistes
1156,9200Z,Organisation de jeux de hasard et d'argent
1157,2442,Métallurgie de l'aluminium
1158,3317,Réparation et maintenance d'autres équipements de transport
1159,3099Z,Fabrication d’autres équipements de transport n.c.a.
1160,4941B,Transports routiers de fret de proximité
1161,8622C,Autres activités des médecins spécialistes
1162,613,Télécommunications par satellite
1163,9601B,Blanchisserie-teinturerie de détail
1164,2896Z,Fabrication de machines pour le travail du caoutchouc ou des plastiques
1165,2561Z,Traitement et revêtement des métaux
1166,191,Cokéfaction
1167,3103,Fabrication de matelas
1168,0710Z,Extraction de minerais de fer
1169,1071,Fabrication de pain et de pâtisserie fraîche
1170,202,Fabrication de pesticides et d’autres produits agrochimiques
1171,2731Z,Fabrication de câbles de fibres optiques
1172,3822,Traitement et élimination des déchets dangereux
1173,6201,Programmation informatique
1174,0112Z,Culture du riz
1175,2223,Fabrication d'éléments en matières plastiques pour la construction
1176,4339,Autres travaux de finition
1177,4759A,Commerce de détail de meubles
1178,257,"Fabrication de coutellerie, d'outillage et de quincaillerie"
1179,49,Transports terrestres et transport par conduites
1180,1041A,Fabrication d'huiles et graisses brutes
1181,8010,Activités de sécurité privée
1182,9003,Création artistique
1183,2651A,Fabrication d'équipements d'aide à la navigation
1184,9491Z,Activités des organisations religieuses
1185,256,Traitement et revêtement des métaux ; usinage
1186,1812,Autre imprimerie (labeur)
1187,1431Z,Fabrication d'articles chaussants à mailles
1188,749,"Autres activités spécialisées, scientifiques et techniques n.c.a."
1189,151,"Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie"
1190,8411,Administration publique générale
1191,4637,"Commerce de gros de café, thé, cacao et épices"
