,Code NAF,Intitule NAF
138,3220Z,Fabrication d'instruments de musique
139,2550B,"Découpage, emboutissage"
140,4662,Commerce de gros de machines-outils
141,7912Z,Activités des voyagistes
142,2829A,"Fabrication d'équipements d'emballage, de conditionnement et de pesage"
143,4334,Travaux de peinture et vitrerie
144,3092Z,Fabrication de bicyclettes et de véhicules pour invalides
145,4614,"Intermédiaires du commerce en machines, équipements industriels, navires et avions"
146,412,Construction de bâtiments résidentiels et non résidentiels
147,4711B,Commerce d'alimentation générale
148,390,Dépollution et autres services de gestion des déchets
149,3101Z,Fabrication de meubles de bureau et de magasin
150,2931,Fabrication d'équipements électriques et électroniques automobiles
151,7734Z,Location et location-bail de matériels de transport par eau
152,7010Z,Activités des sièges sociaux
153,1396,Fabrication d'autres textiles techniques et industriels
154,7430Z,Traduction et interprétation
155,1920,Raffinage du pétrole
156,2053Z,Fabrication d'huiles essentielles
157,4781Z,Commerce de détail alimentaire sur éventaires et marchés
158,1031,Transformation et conservation de pommes de terre
159,4752A,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2)"
160,4726,Commerce de détail de produits à base de tabac en magasin spécialisé
161,4743,Commerce de détail de matériels audio/vidéo en magasin spécialisé
162,9523Z,Réparation de chaussures et d'articles en cuir
163,46,"Commerce de gros, à l’exception des automobiles et des motocycles"
164,3312,Réparation de machines et équipements mécaniques
165,2529,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
166,0610Z,Extraction de pétrole brut
167,1020,"Transformation et conservation de poisson, de crustacés et de mollusques"
168,2892Z,Fabrication de machines pour l'extraction ou la construction
169,4632C,Commerce de gros (commerce interentreprises) de volailles et gibier
170,7722,Location de vidéocassettes et disques vidéo
171,7111,Activités d'architecture
172,2740,Fabrication d'appareils d'éclairage électrique
173,3030Z,Construction aéronautique et spatiale
174,14,Industrie de l'habillement
175,2351Z,Fabrication de ciment
176,5912,"Post-production de films cinématographiques, de vidéo et de programmes de télévision"
177,122,Culture de fruits tropicaux et subtropicaux
178,2561,Traitement et revêtement des métaux
179,61,Télécommunications
180,1393,Fabrication de tapis et moquettes
181,0322Z,Aquaculture en eau douce
182,2060Z,Fabrication de fibres artificielles ou synthétiques
183,4920Z,Transports ferroviaires de fret
184,6630,Gestion de fonds
185,4676Z,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
186,1712Z,Fabrication de papier et de carton
187,1811Z,Imprimerie de journaux
188,6020A,Edition de chaînes généralistes
189,75,Activités vétérinaires
190,8790B,Hébergement social pour adultes et familles en difficultés et autre hébergement social
191,1723Z,Fabrication d'articles de papeterie
192,03,Pêche et aquaculture
193,2030Z,"Fabrication de peintures, vernis, encres et mastics"
194,4753Z,"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
195,4649Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques
196,1412,Fabrication de vêtements de travail
197,52,Extraction de lignite
198,4721,Commerce de détail de fruits et légumes en magasin spécialisé
199,6399Z,Autres services d'information n.c.a.
200,7021Z,Conseil en relations publiques et communication
201,2365Z,Fabrication d'ouvrages en fibre-ciment
202,7810,Activités des agences de placement de main-d'œuvre
203,611,Télécommunications filaires
204,110,Fabrication de boissons
205,4617A,Centrales d'achat alimentaires
206,4939A,Transports routiers réguliers de voyageurs
207,7022,Conseil pour les affaires et autres conseils de gestion
208,5223,Services auxiliaires des transports aériens
209,2599B,Fabrication d'autres articles métalliques
210,6120Z,Télécommunications sans fil
211,4778,Autre commerce de détail de biens neufs en magasin spécialisé
212,2229,Fabrication d'autres articles en matières plastiques
213,3313Z,Réparation de matériels électroniques et optiques
214,3521,Production de combustibles gazeux
215,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
216,6010,Édition et diffusion de programmes radio
217,2059,Fabrication d'autres produits chimiques n.c.a.
218,3317Z,Réparation et maintenance d'autres équipements de transport
219,4333,Travaux de revêtement des sols et des murs
220,5829C,Edition de logiciels applicatifs
221,3521Z,Production de combustibles gazeux
222,5224,Manutention
223,1396Z,Fabrication d'autres textiles techniques et industriels
224,4669A,Commerce de gros (commerce interentreprises) de matériel électrique
225,2829,Fabrication de machines diverses d'usage général
226,3600Z,"Captage, traitement et distribution d'eau"
227,3812,Collecte des déchets dangereux
228,7739,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a."
229,7731Z,Location et location-bail de machines et équipements agricoles
230,4645Z,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté
231,236,"Fabrication d'ouvrages en béton, en ciment ou en plâtre"
232,8690,Autres activités pour la santé humaine
233,8531,Enseignement secondaire général
234,1813Z,Activités de pré-presse
235,2521,Fabrication de radiateurs et de chaudières pour le chauffage central
236,4759,"Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé"
237,9512,Réparation d'équipements de communication
238,889,Autre action sociale sans hébergement
239,873,Hébergement social pour personnes âgées ou handicapées physiques
240,1419Z,Fabrication d'autres vêtements et accessoires
241,1814,Reliure et activités connexes
242,3250A,Fabrication de matériel médico-chirurgical et dentaire
243,2822,Fabrication de matériel de levage et de manutention
244,91,"Bibliothèques, archives, musées et autres activités culturelles"
245,52,Entreposage et services auxiliaires des transports
246,4110B,Promotion immobilière de bureaux
247,7712Z,Location et location-bail de camions
248,3103Z,Fabrication de matelas
249,5221Z,Services auxiliaires des transports terrestres
250,2011,Fabrication de gaz industriels
251,2222Z,Fabrication d'emballages en matières plastiques
252,3821Z,Traitement et élimination des déchets non dangereux
253,429,Construction d'autres ouvrages de génie civil
254,4312,Travaux de préparation des sites
255,4762Z,Commerce de détail de journaux et papeterie en magasin spécialisé
256,4941C,Location de camions avec chauffeur
257,3311,Réparation d'ouvrages en métaux
258,461,Intermédiaires du commerce de gros
259,1107,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes
260,12,Cultures permanentes
261,522,Services auxiliaires des transports
262,3513Z,Distribution d'électricité
263,2369Z,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
264,2331,Fabrication de carreaux en céramique
265,1724Z,Fabrication de papiers peints
266,2841,Fabrication de machines de formage des métaux
267,2652Z,Horlogerie
268,773,"Location et location-bail d'autres machines, équipements et biens"
269,1042Z,Fabrication de margarine et graisses comestibles similaires
270,1104,Production d'autres boissons fermentées non distillées
271,5210,Entreposage et stockage
272,204,"Fabrication de savons, de produits d'entretien et de parfums"
273,2849Z,Fabrication d'autres machines-outils
